"id","order","start.url","titulo","barra","club","pais","cancion"
"1406","1648753077-5388","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/tengo-una-puta-mas-al-norte/","""Tengo una puta más al norte""","Al Hueso Pirata"," Coquimbo Unido","Chile","Tengo una puta más al norte que se llama la cerena trabaja en el turismo y se la culió Coquimbo para el puerto no van y le llenamos el estadio (esooo) eso es tener aguante aguante de Coquimbano cerena chupalo, CHUPALO cerena chupalo, CHUPALO"
"1407","1648751522-4632","https://barrabrava.net/flamengo/nacao-12/letra/flamengo-e-orgulho-de-uma-nacao/","""Flamengo é orgulho de uma nação""","Nação 12"," Flamengo","Brasil","Vamos Flamengo ganhar esse campeonato estou muito descontrolado E não paro de cantar Vamos Flamengo e jogue por essa gente Que sempre se faz presente Que nunca vai te deixar Flamengo é loucura Flamengo é paixão É minha alegria e religião Te levo na alma E no coração Flamengo é orgulho de uma nação"
"1408","1648754364-6011","https://barrabrava.net/deportes-temuco/los-devotos/letra/en-el-sur-existe-una-hinchada/","""En el sur existe una hinchada""","Los Devotos"," Deportes Temuco","Chile","En el sur existe una hinchada, que a Temuco nunca abandonó, que tocó las puertas del infierno, y hasta el mismo diablo se arrancó te alentaré... Porque somos Devotos te seguiré... Por Chile entero siempre viajaré pidiendo aguante a todos los jugadores que por Temuco doy la vida hoy no podemos perder..."
"1409","1648752452-5088","https://barrabrava.net/boca-juniors/la-12/letra/solo-le-pido-a-dios-que-se-mueran-todos-los-chilenos/","""Solo le pido a Dios, que se mueran todos los chilenos""","La 12"," Boca Juniors","Argentina","Solo le pido a Dios que se mueran todos los chilenos Soy bostero y de Argentina no se olvida la traicion a las Malvinas"
"1410","1648748756-3418","https://barrabrava.net/all-boys/la-peste-blanca/letra/sos-la-droga-que-yo-no-puedo-dejar/","""Sos la droga que yo no puedo dejar""","La Peste Blanca"," All Boys","Argentina","Blanco y Negro yo te sigo yo te quiero sos la droga que yo no puedo dejar de chiquito me enseñaron a quererte y que nunca en las mala hay que fallar Sabes que van pasando los años no importa los resultados yo te sigo adonde vas por que a la banda de Floresta no le importa una mierda si perdes o si ganas por eso te vengo a alentar la banda quiere festejar y todos juntos vamo a dar la vuelta!!"
"1411","1648753984-5825","https://barrabrava.net/gremio/geral-do-gremio/letra/vamos-beber/","""Vamos Beber""","Geral do Grêmio"," Grêmio","Brasil","Vamo vamo beber Vamo vamo beber Vamo vamo beber Vamo vamo beber A geral vai morrer de cirrose Vai morrer de cirrose Vai morrer de cirrose A geral vai morrer de cirrose Vai morrer de cirrose Vai morrer de cirrose"
"1412","1648749060-3569","https://barrabrava.net/olimpia/la-barra-79/letra/una-tarde-mi-viejo-me-llevo/","""Una tarde mi viejo me llevo""","La Barra 79"," Olimpia","Paraguay","Franjeado… me enamore de ti tus colores asi yo lo senti.. una tarde mi viejo me llevo… desde ahi vos sos mi vida y mi pasion.. si en la buena y las malas voy con vos.. si tu gente a vos no te siguio… sos amargo sos hincha del ciclon… vos y luque la puta que te parioo…."
"1413","1648748590-3335","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/no-se-como-voy-no-se-como-vengo/","""No se como voy no se como vengo""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","suguiendo al fortin yo llegare lejos tan lejos como pueda llegar no se como voy no se como vengo de la cabeza te vengo a alentar vamos fortinero todo va a estar bien esta noche cantare hoy no podemos perder vamos fortinero vamos a ganar te llevamos en el corazón te queremos ver campeón."
"1414","1648749839-3953","https://barrabrava.net/quilmes/indios-kilmes/letra/cuando-juega-quilmes-no-me-importa-nada/","""Cuando juega Quilmes no me importa nada""","Indios Kilmes"," Quilmes","Argentina","Cervecero soy no sé lo que me pasa Cuando juega Quilmes no me importa nada Es la azul y blanca la que me conquisto Yo daría la vida POR SALIR CAMPEON Cervecero hoy hay que ganar que esta banda quiere festejar"
"1415","1648751440-4591","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/mix-canticos-los-de-siempre-lds/","""Mix. Cánticos Los De Siempre (LDS)""","Los de Siempre"," Oriente Petrolero","Bolívia","LA BARRA BRAVA: La Barra brava... la barra puta... El que no salte es un hijo de puta DALE OOO: Dale Ooo, dale Ooo Dale Oriente, dale Ooo YO TE LLEVO DENTRO DE MI CORAZÓN: Vamo, vamo vamo Oriente... YO te llevo dentro de mi Corazón... DALE DALE DALE OOO: Dale, dale dale Ooo Y dale Ooo, y dale Ooo y dale Ooo... LA COPA LIBERTADORES ES MI OBSECION: Y dale alegría alegría a mi Corazón... La Copa Libertadores es mi Obsecion... Y ya verán... Cuando demos la vuelta van a llorar... DE SAN ANTONIO, SALE EL NUEVO CAMPEÓN: Si si señores, yo soy de Oriente... Si si señores, de Corazon Porque este año de San Antonio, de San Antonio... Salio el nuevo Campeón... ARRIBA ARRIBA: Arriba, arriba... Abajo, abajo... Esta es la Curva de Oriente... Carajo!!!!"
