"id","order","start.url","titulo","barra","club","pais","cancion"
"2487","1648751253-4523","https://barrabrava.net/emelec/boca-del-pozo/letra/te-alentaremos-de-corazon/","""Te alentaremos de corazon""","Boca del Pozo"," Emelec","Ecuador","Emelec..... Porque te quiero... Te alentaremos... de corazon...."
"2488","1648753489-5590","https://barrabrava.net/curico-unido/los-marginales/letra/cuando-yo-me-muera/","""Cuando Yo Me Muera""","Los Marginales"," Curicó Unido","Chile","Cuando yo me muera, Yo quiero que mi cajón, Sea rojo & blanco, Como mi corazón... Al albirrojo, Lo sigo a todos lados, En las buenas & en las malas, Siempre descontrolado... Vamos curicano, Vamos a ganar, El pueblo albirrojo, Te vino a alentar... Porqué es una fiesta, Somo' un carnaval, Soy de la gloriosa, Banda Marginal...!!"
"2489","1648753266-5481","https://barrabrava.net/monterrey/la-adiccion/letra/yo-te-quiero-monterrey/","""Yo te quiero Monterrey""","La Adicción"," Monterrey","México","Yo te quiero Monterrey yo te sigo tu eres mi vida siempre te voy alentar aunque no quiera la policia/ vayas a donde vayas esta es tu hinchada la que te alienta vamos Rayados/ vamos a ganar!! queeee la banda esta de fiesta vamos Rayados no falles a tu hinchada la que te sigue en las buenas y en las malas vamos Rayados con huevo vaya al frente no somo amargos como son los de enfrente yo soy asi ! a Rayas yo lo quiero y los tigreeees. Nos chupan bien los huevos!!"
"2490","1648753061-5380","https://barrabrava.net/alianza-lima/comando-svr/letra/cuando-yo-me-muera/","""Cuando yo me muera""","Comando SVR"," Alianza Lima","Peru","Cuando yo me muera yo quiero que mi cajón sea azul y blanco como mi corazón yo soy del Comando y te sigo a todos lados en las buenas y en las malas siempre descontrolado Vamos que esta tarde tienes que ganar el pueblo de Alianza te vino alentar porque eres la fiesta eres carnaval vamos vamos Alianza vamos a campeonar"
"2491","1648751162-4503","https://barrabrava.net/gremio/geral-do-gremio/letra/arere-o-inter-vai-jogar-a-serie-b/","""Arere o Inter vai jogar a serie b""","Geral do Grêmio"," Grêmio","Brasil","Arere o Inter vai jogar a serie b Ee"
"2492","1648753920-5793","https://barrabrava.net/boca-juniors/la-12/letra/baila-la-hinchada-baila/","""Baila la hinchada baila""","La 12"," Boca Juniors","Argentina","Baila la hinchada baila, baila de corazon, suben y bajan suben y bajan parecen ascensor"
"2493","1648750136-4056","https://barrabrava.net/curico-unido/los-marginales/letra/al-curicano-lo-sigo-a-todos-lados/","""Al Curicano, Lo sigo a todos lados""","Los Marginales"," Curicó Unido","Chile","Al Curicano, Lo sigo a todos lados Tu eres mi vida, Tu eres mi pasión, Por eso Curi aunque ganes o pierdas, No me importa una mierda, yo vivo en el tablón, Pasan los años, Pasan los jugadores, Pero lo que no pasa, Que el Curi es mi pasión...!! Por eso yo, Vengo a alentar, Curi, Sale campeón... Te lo pide sin paraaaar, Toda la banda Albirro...!!"
"2494","1648749452-3764","https://barrabrava.net/estudiantes-de-la-plata/los-leales/letra/orgullo-de-la-ciudad-soy-pincharrata/","""Orgullo de la ciudad soy pincharrata""","Los Leales"," Estudiantes de La Plata","Argentina","Me dicen el Tricampeón soy de La Plata, orgullo de la ciudad soy Pincharrata. Si ganás o perdés no importa igual te vengo a ver, no somos putos como el Lobo y la Acadé. Dale León, Dale León Dale León, Dale León"
"2495","1648753708-5690","https://barrabrava.net/lanus/la-barra-14/letra/la-14-siempre-va/","""La 14 siempre va""","La Barra 14"," Lanús","Argentina","Vamos, Vamos los granates vamos a ganar, Vamos, La barra 14 quiere festejar, Vamos, el vino y la droga no pueden faltar, Vamos, que descontrolado te vengo a alentar... Y no me importa si jugamos en la quema, En Rosario o en la sucia bombonera, La 14 siempre va, la 14 siempre está, Lanus Este todo el año es carnaval..."
"2496","1648748966-3522","https://barrabrava.net/universidad-catolica/los-cruzados/letra/gracias-a-la-vida-por-ser-cruzado/","""Gracias a la vida por ser cruzado""","Los Cruzados"," Universidad Católica","Chile","Gracias a la vida por ser crxzado es un sentimiento descontrolado y a pesar de todo te sigo alentando seguro este año la vuelta damos"
"2497","1648750559-4236","https://barrabrava.net/deportivo-laferrere/la-barra-de-laferrere-79/letra/lafe-sos-la-alegria/","""Lafe sos la alegria""","La Barra de Laferrere 79"," Deportivo Laferrere","Argentina","Lafe sos la alegria por vos, dejo la vida, ni la quiebra tampoco el descenso nada puede con el sentimiento que siento por vos yo te llevo en el corazon, yo soy villero laferrer, mi pasion, sos la droga de mi corazon.... laferrer, siempre voy, esta hinchada quiere ser campeon...."
"2498","1648749378-3727","https://barrabrava.net/rangers-de-talca/los-rojinegros/letra/rojinegro-soy/","""RojiNegro Soy""","Los Rojinegros"," Rangers de Talca","Chile","RojiNegro Soy Rangers la alegría de mi corazón Tu eres mi vida tu eres la pasión Más allá de toda explicación A mi no me interesa en que cancha juegues Local o visitante yo te voy a ver Ni la muerte nos va a separar Desde el cielo te voy a alentar"
"2499","1648752464-5094","https://barrabrava.net/santa-cruz/portao-10/letra/a-copa-do-nordeste-e-minha-obsessao/","""A Copa do Nordeste é minha obsessão""","Portão 10"," Santa Cruz","Brasil","E dale alegria alegria ao meu coração A Copa do Nordeste é minha obsessão Copamos a Fonte Nova e o Castelão Ô Santa eu vim aqui pra te ver campeão Sou tricolor Estamos com o mais querido por esse amor E pra vencer Cantarei estou contigo até morrer"
"2500","1648752317-5021","https://barrabrava.net/independiente/la-barra-del-rojo/letra/de-avellaneda-salio-el-nuevo-campeon/","""De Avellaneda salió el nuevo campeón""","La Barra del Rojo"," Independiente","Argentina","Sí, sí señores! Yo soy del Rojo! Sí, sí señores! De corazón! Porque este año de Avellaneda, de Avellaneda! Salió el nuevo campeón!!!"
"2501","1648750821-4355","https://barrabrava.net/nacional/la-banda-del-parque/letra/a-mi-me-volvio-loco-ser-del-tricolor/","""A Mi Me Volvio Loco Ser Del Tricolor""","La Banda del Parque"," Nacional","Uruguay","a mi me volvio loco ser del tricolor a mi me volvio loco ser del tricolor te vinimos a ver te vinimos a alentar vamo vamo los bolso vamo vamo ganar"
"2502","1648752821-5265","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/de-pendejo-te-sigo/","""De pendejo te sigo""","La Plaza y Comando"," Cerro Porteño","Paraguay","De pendejo te sigo voy con CERRO siempre a todos lados te bancamos en las buenas y tambien en los momentos malos hoy recuerdo esos dias en que me diste tanta alegria ahora sigo contigo por que sos la razon de mi vida y no somos como los putos de olimpia nooo que no saben lo que es para en 5TA CEEEE.. y por eso olimpia puto yo tee digo vos sos amargo y pecho frio vos sos amaargo y andaaas a tirooos !!!"
"2503","1648748851-3465","https://barrabrava.net/mineros-de-guayana/la-pandilla-del-sur/letra/aqui-esta-la-pandilla/","""Aquí esta La Pandilla""","La Pandilla del Sur"," Mineros de Guayana","Venezuela","Aquí esta la Pandilla dale campeón Que la vuelta todos vamos a dar La banda esta loca y descontrolada Este juego hay que ganar Carnaval toda la vida por Mineros Sentimiento que no puedo explicar Al negriazul lo llevo en el corazón Y hoy yo lo vengo a alentar Vamos, que quiero ser campeón Ganemos hoy, descontrolado estoy Dale campeón, yo quiero ser campeón Ganemos hoy, descontrolado estoy"
"2504","1648750111-4043","https://barrabrava.net/deportes-temuco/los-devotos/letra/yo-soy-de-la-hinchada/","""Yo soy de la hinchada""","Los Devotos"," Deportes Temuco","Chile","Yo soy de la hinchada la más fiel de todas siguiendo a Temuco no puedo parar y voy con los bombos, todas las banderas vamos pije vamos, tienes que ganar... Vamos Temuquito vamos a ganar esta es la hinchada que te va a alentar vamos Temuquito no puedes perder juegues donde juegues yo te vengo a veer"
"2505","1648754209-5935","https://barrabrava.net/curico-unido/los-marginales/letra/hay-que-loco-que-estoy-por-el-curi/","""Hay que loco que estoy, por el Curi""","Los Marginales"," Curicó Unido","Chile","Gracias Curi Gracias jugadores por esta campaña Esta es tu hinchada la que te alienta con el corazón la que siempre estuvo presente en todas las canchas No cambia nada si no das la vuelta ni sales campeón... Hay que loco que estoy, Por el Curi Hay que loco que estoy, No cambio más Alentando en la granja, Todo el año es carnaval!!"
"2506","1648749293-3685","https://barrabrava.net/real-cartagena/rebelion-auriverde-norte/letra/hoy-es-un-dia-especial/","""Hoy es un dia especial""","Rebelión Auriverde Norte"," Real Cartagena","Colombia","hoy es un dia especial lo vamos a celebrar junior va correr y no vas a volver"
"2507","1648754192-5926","https://barrabrava.net/real-cartagena/rebelion-auriverde-norte/letra/despacito/","""Despacito""","Rebelión Auriverde Norte"," Real Cartagena","Colombia","Yo, toda mi vida la llevo alentandote, Sólo te pido que seas campeón. Que toda tu hinchada se merece mucho más, a pesar de todo siempre está. real, para ser campeónes Hoy hay que ganar, por estos colores la vida hay que dar, vamos Cartagena quiero ser primero. sé, que me llaman loco por ser del Real, pero esta pasión jamás la entenderán, sólo la sabrá quién vive esta locura. a-uri-verde es un sentimiento que se lleva dentro, No importan las canchas siempre yo te aliento, porque el Cartagena eres mi amor eterno. Ay car-tacho Tú eres mi vida y no queda duda, desde pequeñito fuiste mi locura, una enfermedad que ya no tiene cura."
"2508","1648753225-5460","https://barrabrava.net/monterrey/la-adiccion/letra/rayados-eres-mi-vida/","""Rayados eres mi vida""","La Adicción"," Monterrey","México","Esta banda viene a verte no le importa lo que digan te sigo desde pequeño Rayados eres mi vida Monterrey, yo te quiero hoy no podemos perder porque yo, dejo todo solo por volverte a ver"
"2509","1648752783-5246","https://barrabrava.net/desportiva-ferroviaria/grenamor/letra/vamo-vamo-vamo-desportiva/","""Vamo vamo vamo Desportiva""","Grenamor"," Desportiva Ferroviária","Brasil","É a banda louca que não para de apoiar Vamo vamo vamo Desportiva Te sigo em toda parte Bebendo a noite inteira Com a Grenamor descontrolada Cantamos todos juntos Em busca dessa taça E o Araripe O Monumental é o caldeirão Asilo imundo Teve que subir no tapetão É série B"
"2510","1648753152-5425","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/hoy-la-serena-hay-que-ganar-cancion-dime-si-eres-feliz/","""Hoy la serena hay que ganar (canción dime si eres feliz)""","Los Papayeros"," Deportes La Serena","Chile","Hoy la serena hay que ganar No podemos perder No te dejo de alentar De visita o de local Voy a la cancha descontrolado Fumando yerba por todos lados Yo dejo todo mi corazón Solo te pido salir campeón"
"2511","1648751144-4494","https://barrabrava.net/banfield/la-banda-del-sur/letra/vos-sos-muy-grande-para-estar-en-la-b/","""Vos sos muy grande para estar en la B""","La Banda del Sur"," Banfield","Argentina","Como te explico que vos sos mi pasion Banfield, vos sos mi locura, Te di mi alma desde el dia que naci, te sigo desde la cuna. Vos sos muy grande para estar en la B Toda tu gente quiere verte en primera Vamo' a copar Lanus el Monumental y tambien la Bombonera"
"2512","1648749676-3874","https://barrabrava.net/sao-bernardo-futebol-clube/movimento-popular-febre-amarela/letra/despacito-da-febre/","""Despacito da Febre""","Movimento Popular Febre Amarela"," São Bernardo Futebol Clube","Brasil","Por toda minha vida eu sigo com você... Desde que te vi eu sou Bernô Nem, a distância é capaz de nos separar Onde for jogar contigo estou Bernô, toda essa loucura não vai acabar A cada dia que passa me apaixono mais Carrego suas cores para vida inteira Ooo, vamos São Bernardo vamos a ganhar, Para que a taça venha conquistar Toda essa cidade ficará em festa... São Bernardo, é inexplicável tudo o que eu sinto Estarei contigo a todo momento, Pelo sentimento que trago aqui dentro... Toda vez, que venho aqui no primeiro, A banda da Febre apoia o jogo inteiro, Juntos voltaremos para o Brasileiro..."
"2513","1648753824-5746","https://barrabrava.net/barcelona-sporting-club/sur-oscura/letra/barcelona-estas-adentro-del-corazon/","""Barcelona estas adentro del corazon""","Sur Oscura"," Barcelona Sporting Club","Ecuador","Te juro que te amo No puedo abandonarte te sigo a todas partes Siempre alli estoy yo Voy de corazon Vamos que este año la copa hay que ganar"
"2514","1648752542-5133","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/quiero-quemar-todo-el-monumental/","""Quiero quemar todo el monumental""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","Gallina puta bardeaste con la sede Pero todos sabemos que siempre chamuyas Como sabias que no habia nadie Tiraste un par de piedras y despues te borras Pero cuidate vamos a ir a tu cancha Vamos a tener revancha, te vamos a matar Por eso yooo quiero quemar, todo el monumental Y pedirle a los borrachos un combate de verdad"
"2515","1648752226-4976","https://barrabrava.net/colo-colo/garra-blanca/letra/garra-blanca-activa-y-combatiente/","""Garra Blanca activa y combatiente""","Garra Blanca"," Colo-Colo","Chile","Sangre araucana (somos) Somos hijos de la raza brava (ser)es diferente garra blanca activa y combatiente Vamos vamos vamos colo-colo La alegria de mi pueblo que se muera b$n Esta hinchada siempre va de frente Con los cuicos y las madres Y la policia verde"
"2516","1648748952-3515","https://barrabrava.net/independiente/la-barra-del-rojo/letra/hay-que-alentar-a-independiente/","""Hay que alentar a Independiente""","La Barra del Rojo"," Independiente","Argentina","Hay que alentar a Independiente Porque yo al Rojo lo quiero y esta banda tiene huevos Nadie la puede parar! No somos como los bosteros Vamos a ir al gallinero sin custodia policial Oooh ooh oooh el que no salta es un botón!"
"2517","1648751904-4816","https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/te-vine-a-alentar/","""Te vine a alentar""","La Guardia Albi Roja Sur"," Independiente Santa Fe","Colombia","Te vine a Alentar Dale dale rojo Yo te sigo a todos lados Te quiero ver CAMPEÓN De la cuna yo doy del expreso Este amor no se puede explicar Es por eso albirojo querido Que la vuelta yo la quiero dar Dejen todo en la cancha muchachos Y seguro salimos CAMPEÓN Porque se........ QUE SIEMPRE,QUE SIEMPRE ESTOY CON EL LEÓN"
"2518","1648751166-4505","https://barrabrava.net/defensa-y-justicia/la-banda-de-varela/letra/de-varela-yo-vengo/","""De varela yo vengo""","La Banda de Varela"," Defensa y Justicia","Argentina","De varela yo vengo Soy del defe porque tengo aguante Yo no soy como quilmes Que son putos vigilantes Aunque ganes o pierdas Nunca voy a dejar de alentarte En las buenas en las malas Te seguire a todas partes Vamos defe quiero verte dar la vuelta ooooo Es el sueño de la banda de varela oooo La que deja la vida por los colores Vos en la cancha yo en los tablones Pongamos huevos Para ser campeones"
"2519","1648752329-5027","https://barrabrava.net/gremio/geral-do-gremio/letra/amigo-punk/","""Amigo Punk""","Geral do Grêmio"," Grêmio","Brasil","Amigo punk Escute este meu desabafo Que a esta altura da manhã Já não importa o nosso bafo"
"2520","1648752744-5227","https://barrabrava.net/gremio/geral-do-gremio/letra/jamais-temer-nao-somos-como-os-putos-do-inter/","""Jamais temer, não somos como os putos do inter""","Geral do Grêmio"," Grêmio","Brasil","E dale alegria alegria meu coração Somente uma te peço hoje O campeonato mundial é obsessão Tens que jogar com alma e coração Jamais temer, não somos como os putos do inter Jamais temer, não somos como os putos do inter"
"2521","1648752107-4917","https://barrabrava.net/deportes-iquique/furia-celeste/letra/sale-dragon/","""Sale Dragon""","Furia Celeste"," Deportes Iquique","Chile","Sale dragooooon, sale sale sale dragoooon, sale sale dragoooon, sale con garra y corazooon. (BIS)"
"2522","1648751349-4547","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/vamos-cerro-vamos-a-salir-primeros/","""Vamos Cerro Vamos a salir primeros""","La Plaza y Comando"," Cerro Porteño","Paraguay","En el barrio de la olla hay una barra loca muy descontrolada es la barra del ciclon que para alentar ella no tiene drama Vamooos Cerro vamos a salir primero los de olimpia son cagones y los cuidan los botones"
"2523","1648750067-4021","https://barrabrava.net/monterrey/la-adiccion/letra/senores-es-asi-yo-siempre-voy-a-ver-rayados/","""Señores es así yo siempre voy a ver Rayados""","La Adicción"," Monterrey","México","Yo sin ti nose que haría, eres tu toda mi vida,  Nuevo León siempre es un carnaval y es por ti,  Señores es así yo siempre voy a ver Rayados,  para salir campeón la vida hay que dejar Monterrey  siempre te seguiré  y yo siempre estaré en todos lados,  Somos tan diferentes a las demas (x7)"
"2524","1648752059-4893","https://barrabrava.net/monarcas-morelia/locura-81/letra/la-banda-loca-de-los-canarios/","""La banda loca de los canarios""","Locura 81"," Monarcas Morelia","México","Esta es la banda loca de los canarios la que te sigue siempre a todos lados Aunque no seas campeón yo sigo alentando porque a pesar de todo te sigo amando Es la locura..."
"2525","1648752159-4943","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/mi-vicio-es-medellin-cd-100-anos-de-tradicion-antioquena/","""Mi Vicio Es Medellín - CD 100 años de tradición Antioqueña""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Llevo puesta la camisa que llena mi vida de significado... El escudo de mi equipo, este amor inmenso en mi piel tatuado Tengo dentro de mi mente aquellos amigos que hemos perdido No olvidamos que allá arriba siempre están contigo Mi vicio es Medellín, sos mi razón mas fuerte La locura sin fin, ser del Rojo hasta la muerte... Vamos campeón, vamo' a ganar Por que esta banda no para de alentar Vamos campeón no voy a parar Esta es tu hinchada que nunca va a faltar Yo siempre te sigo donde quiera que vas La banda Indigente no te va a abandonar De Corazón, Poderoso Yo Te Sigo...â™«â™ª"
"2526","1648750715-4310","https://barrabrava.net/juan-aurich/la-banda-los-nortenos/letra/ciclontu-eres-mi-locura-no-puedo-parar/","""Ciclon,tu eres mi locura no puedo parar""","La Banda Los Norteños"," Juan Aurich","Peru","Yo, llevo una vida a tu lado siguiéndote Desde que nací junto al ciclon Se, que no hay distancia que nos pueda separar juegues en la liga o en la A Ciclon,tu eres mi locura no puedo parar Y cada domingo me enamoro mas Por estos colores doy la vida entera Oh, vamos los norteños vamos a ganar Este año la vuelta queremos dar Para que chiclayo vuelva a estar de fiesta Juuan Aurich es inexplicable todo lo que siento Estaré contigo en todo momento Porque al ciclon yo la llevo adentro Pongan huevo y vayan al frente para ser primero Esta es la gran banda de los norteños la que a copado el Peru entero"
"2527","1648748867-3473","https://barrabrava.net/aldosivi/la-pesada-del-puerto/letra/esta-es-la-banda-la-de-emiliano/","""Esta es la banda la de Emiliano""","La Pesada del Puerto"," Aldosivi","Argentina","Vamos vamos vamos los del Puerto para salir primero hay que poner mas huevo vamos vamos los del Puerto párate de mano que nos sobran huevo se para de mano esta es la banda la de Emiliano"
"2528","1648750602-4257","https://barrabrava.net/deportivo-quito/mafia-azul-grana/letra/siguiendole-al-quito-no-importa-si-es-lejos/","""Siguiéndole al Quito, no importa si es lejos""","Mafia Azul Grana"," Deportivo Quito","Ecuador","siguiéndole al Quito no importa si es lejos, no importa si es lejos te vengo a alentar, la Mafia Azul Grana está de la cabeza, quiere más cerveza, para festejar. vamos la Academia que esta todo bien, porque vamos a volver, es tu hinchada la más fiel, la que te sigue a donde jugues, si estas en primera o en el amateur"
"2529","1648750999-4423","https://barrabrava.net/gremio/geral-do-gremio/letra/sou-quem-nao-te-abanonou/","""Sou Quem Não Te Abanonou""","Geral do Grêmio"," Grêmio","Brasil","Pra vencer tem que ser mais copero Pra te ver campeão do mundo inteiro E dale tricolor... Sou quem não te abandonou! Essa é tua torcida, É a tua gente Que te apoia sempre não importa como estás!"
"2530","1648750344-4159","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/keko-muerto-de-hambre/","""Keko Muerto De Hambre""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Keko, keko muerto de hambre, el, león te da de hartar. Si no juegas con Olimpia, la planilla no pagás."
"2531","1648749006-3542","https://barrabrava.net/el-nacional/marea-roja/letra/nacional-es-la-gloria-del-futbol/","""Nacional es la gloria del futbol""","Marea Roja"," El Nacional","Ecuador","Cuando va a salir la máquina gris todo el mundo se adelanta Ruge la tribuna suena el clarín, (\)ACIONAL está en la cancha Todos quieren ver jugar al Campeón y ganar una victoria Canta (\)ACIONAL con el corazón (\)ACIONAL es nuestra gloria /(\)ACIONAL ES LA GLORIA DEL FÚTBOL (\)ACIONAL ES EL CAMPEÓN/ (bis)"
"2532","1648751121-4483","https://barrabrava.net/curico-unido/los-marginales/letra/el-club-que-no-se-vendio/","""El Club Que No Se Vendió""","Los Marginales"," Curicó Unido","Chile","Y vamo’ albirro, acá está la banda que en los 15 años no te abandonó... Tengo una ilusión, llegar a la copa Sudamericana y verte campeón... Seguimos siendo el club que no se vendió, como lo quiso siempre Mario Muñoz... Albirrojo te pido una cosa, este año quiero verte en la copa... Y se quieren matar... La Granja es carnaval! Y dale dale dale dale Curicó Y dale dale dale dale Curicó Y dale dale dale dale Curicó Y dale dale dale dale Curicó"
"2533","1648750565-4239","https://barrabrava.net/zulia/la-petrolera/letra/hoy-te-vinimos-a-ver/","""Hoy Te Vinimos a Ver""","La Petrolera"," Zulia","Venezuela","Hoy te vinimos a ver, vamos Petrole... Hoy no podemos perder, vamos Petrole.. Nunca te va abandonar, vamos Petrole... La Barra Petroleraaaaa"
"2534","1648751914-4821","https://barrabrava.net/chapecoense/barra-da-chape/letra/os-putos-do-joinville-se-cagaram/","""Os putos do Joinville se cagaram""","Barra da Chape"," Chapecoense","Brasil","É a banda da chape, a banda que vai a todo lado Sempre descontrolado, alentando o tempo inteiro E contigo eu vou, e vibro a todo momento E aos jogadores, que joguem e lutem sem medo Essa é a banda mais louca do estado ôôô A que segue a achar sempre a todo lado ôôô E os putos do Joinville se cagaram Por que a final Eles não jogaram 96 Ficou marcado ôôô"
"2535","1648749414-3745","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/la-que-corre-a-boca-e-independiente/","""La que corre a boca e independiente""","Los Borrachos del Tablón"," River Plate","Argentina","Vamo vamo vamo millonario,  siempre te sigo descontrolado,  quiero dar la vuelta en la copa,  para que llore toda la boca.  ¡ESTA ES TU HINCHADA!  la que esta en las buenas y en las malas,  ¡ESTA ES TU GENTE!  la que corre a boca e independiente."
"2536","1648753829-5749","https://barrabrava.net/tigre/la-barra-del-matador/letra/ya-tenemos-una-cama/","""Ya tenemos una cama""","La Barra Del Matador"," Tigre","Argentina","ya tenemos una cama ya tenemos un colchon y la pija bien parada pa cogernos al marron"
"2537","1648748785-3432","https://barrabrava.net/gremio/geral-do-gremio/letra/lutaremos-que-ganhamos/","""Lutaremos Que Ganhamos""","Geral do Grêmio"," Grêmio","Brasil","Ôooooooooooooooooooooo Vamos Grêmio vamos Ôooooooooooooooooooooo Ôooooooooooooooooooooo Vamos Grêmio vamos Lutaremos que ganhamos"
"2538","1648753204-5450","https://barrabrava.net/boca-juniors/la-12/letra/este-ano-volvemos-a-japon/","""Este año volvemos a Japon""","La 12"," Boca Juniors","Argentina","En el barrio de la ribera  Lo sigo a Boca a donde sea  De la cuna hasta el cajón  Nadie entiende este sentimiento que siento por vos  Donde juegues yo voy a estar  Por eso aliento  Hoy tenes, que ganar  Otra copa quiero festejar  Ponga huevo, campeón  Que este año volvemo' a Japón"
"2539","1648752907-5307","https://barrabrava.net/ferro-carril-oeste/la-banda-100-caballito/letra/la-alegria-de-este-barrio/","""La alegría de este barrio""","La Banda 100% Caballito"," Ferro Carril Oeste","Argentina","De pendejo voy con vos, porque vos sos mi pasión, nosotros te alentamos del tablón ustedes pongan huevo y corazón."
"2540","1648751361-4553","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/boca-no-chamuyes-mas/","""Boca No Chamuyes Más""","Los Borrachos del Tablón"," River Plate","Argentina","Boca no chamuyes más Ya nos vamos a encontrar Como allá en Mar del Plata Que corristes sin parar Nos mandaste a la yuta Porque vos sos un cagón Preguntale a Di Zeo Fue el primero que corrió Y te salvoo... La policiaa... Porque sino estabas corriendo todavía! Y te salvoo... La policiaa... Porque sino estabas corriendo todavía!"
"2541","1648752367-5046","https://barrabrava.net/independiente/la-barra-del-rojo/letra/yo-te-vengo-a-ver-descontrolado/","""Yo te vengo a ver descontrolado""","La Barra del Rojo"," Independiente","Argentina","Te sigo de pendejo, Siempre voy a todos lados, Yo te vengo a ver, descontrolado, Blanca y celeste, ay que se siente, Ese cilindro lo llena Independiente, No se compara, con otra hinchada, Somos nosotros, en las buenas y en las malas"
"2542","1648754233-5946","https://barrabrava.net/bolivar/la-vieja-escuela/letra/vamos-la-academia/","""Vamos la Academia""","La Vieja Escuela"," Bolívar","Bolívia","Academia! Y vamoos Academia Y vamoos Academia Y vamoos Academia"
"2543","1648752405-5065","https://barrabrava.net/colon/los-de-siempre/letra/sabalero-hoy-te-vinimos-a-ver/","""Sabalero hoy te vinimos a ver""","Los de Siempre"," Colón","Argentina","Sabalero hoy te vinimos a ver pongan huevos hoy no podes perder te llevamos dentro del corazon esta hinchada se merece ser campeon"
"2544","1648753456-5574","https://barrabrava.net/chapecoense/barra-da-chape/letra/hoje-vou-para-o-estadio-para-cantar/","""Hoje vou para o estadio para cantar""","Barra da Chape"," Chapecoense","Brasil","Hoje vou pro estadio para cantar Vamos chape porque temos que ganhar já peguei minha camisa e minha bandeira to preparado pra mais uma peleia Chapecoenseeeeeee Chapecoenseeeeeee..."
"2545","1648754088-5875","https://barrabrava.net/universidad-catolica/los-cruzados/letra/una-gitana-hermosa/","""Una gitana hermosa""","Los Cruzados"," Universidad Católica","Chile","Una gitana hermosa leyó las cartas me dijo que los crxzados van a ser campeón (campeón) fumamos marihuana y tomamos vino (vino) y nos culiamos al chuncho que es maricón (que es maricón) me lo dijo una gitana que la vuelta ibamos a dar si no era en San Carlos era en el Nacional me lo dijo una gitana yo no lo podía creer que este año a ese indio lo culiamos otra vez"
"2546","1648748752-3416","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/nos-fuimos-al-descenso-nos-vendieron-la-cancha/","""Nos fuimos al descenso nos vendieron la cancha""","La Gloriosa Butteler"," San Lorenzo","Argentina","Nos fuimos al descenso nos vendieron la cancha lo que nunca pudieron fue parar esta hinchada que se hizo GLORIOSA en las buena' y las malas la que lleva en la sangre la pasión azulgrana la pasión azulgrana....."
"2547","1648754052-5858","https://barrabrava.net/all-boys/la-peste-blanca/letra/velez-te-vamos-a-matar/","""Veléz te vamos a matar""","La Peste Blanca"," All Boys","Argentina","A los de Veléz no los entiendo son todos putos siempre van corriendo no tiene aguante, no tiene huevos son todos putos como en mataderos seguimos esperando a La Pandilla que venga pero sin la policía te vamos a esperar, veninos a buscar Veléz te vamo a matar, Veléz te vamo a matar"
"2548","1648749547-3811","https://barrabrava.net/deportivo-moron/los-borrachos-de-moron/letra/aunque-me-llamen-borracho/","""Aunque me llamen borracho""","Los Borrachos de Morón"," Deportivo Morón","Argentina","Aunque me llamen borracho, Vago y todo lo demas... Yo te prometo gallito nunca te voy a dejar. Porque te llevo en la sangre, Sos sentimiento y pasión. No se si estaré muy loco Pero te quiero Morón."
"2549","1648753136-5417","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/te-alentare-hasta-la-muerte-te-alentare-donde-sea/","""Te alentaré hasta la muerte, te alentaré donde sea""","La Banda de la Quema"," Huracán","Argentina","Vamos globo, que hoy hay que ganar Si en primera vos querés jugar San lorenzo ya la vas a ver La bandera de la Butteler Te alentaré hasta la muerte Te alentaré donde sea Lo unico que quiero es ver al Globo campeón, otra vez en primera"
"2550","1648748758-3419","https://barrabrava.net/flamengo/nacao-12/letra/da-lhe-da-lhe-cabeleira-do-zeze/","""Dá-lhe, dá-lhe - Cabeleira do Zezé""","Nação 12"," Flamengo","Brasil","Dale dale dale daleo Dale Flamengo Dale Flamengo"
"2551","1648751877-4803","https://barrabrava.net/colo-colo/garra-blanca/letra/eso-de-ser-campeones/","""Eso de ser campeones""","Garra Blanca"," Colo-Colo","Chile","Eso de ser campeones lo llevamo en la sangre Y teni que aceptarlo Chuncho conchetumare"
"2552","1648750621-4266","https://barrabrava.net/juventude/loucos-da-papada/letra/avante-papo/","""Avante Papo""","Loucos da Papada"," Juventude","Brasil","Avante papo Tremendo a arquibancada Somos quem tem a raça E o orgulho aumentará Sou da papada La Raza odiada Opondo a toda massa E sempre apoiar Essa doença já é incontrolável O bando é incurável E canta sem parar Por isso eu sou, só do papo E a loucura se espalhou Juventude eu te quero Somos os loucos do papo Pro jaconi eu vou E a loucura se espalhou Juventude eu te quero Somos os loucos do papo"
